product_name,price,old_price,discount,product_url,image_url,rating
, 102960,,50%,https://www.jumia.co.ke/hp-15s-15.6-hd-display-intelr-coretm-i7-1255u-12th-gen-8gb-ddr4-ram-512gb-ssd.1-yr-wrty-250580561.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/5085052/1.jpg?3408,
, 115000,,8%,https://www.jumia.co.ke/hp-envy-x360-2-in-1-laptop-core-7-150u-16gb-ram-512gb-ssd-14-fhd-touchscreen-display-windows-11-natural-silver-1yr-wrty-265240061.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/0042562/1.jpg?1234,
, 150000,,6%,https://www.jumia.co.ke/hp-elitebook-840-g10-intel-core-i5-1335u-16gb-ram-512gb-ssd-windows-11-14-wuxga-silver-305860449.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/4068503/1.jpg?3576,
, 89999,,5%,https://www.jumia.co.ke/hp-laptop-15-intel-core-i7-1355u-8gb-ram-512gb-ssd-windows-11-15.6-fhd-silver-305952917.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/9259503/1.jpg?4475,
, 124000,,5%,https://www.jumia.co.ke/hp-probook-460-g11-intel-core-ultra-7-155u-16gb-ram-512gb-ssd-windows-11-16-wuxga-silver-305972527.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/5279503/1.jpg?7676,
, 118000,,5%,https://www.jumia.co.ke/hp-probook-440-g10-laptop-core-i7-1355u-16gb-ram-512gb-ssd-14-fhd-display-windows-11-fingerprint-reader-pike-silver-aluminum-1yr-wrty-250653597.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/5356052/1.jpg?7927,
, 49999,,12%,https://www.jumia.co.ke/lenovo-ideapad-1-14iau7-core-i3-1215u-4gb-ram-256gb-ssd-14-hd-display-windows-11-pro-cloud-grey-1yr-wrty-234307601.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/6703432/1.jpg?1539,
, 124000,,5%,https://www.jumia.co.ke/hp-probook-450-g10-intel-core-i7-1355u-16gb-ram-512gb-ssd-windows-11-15.6-fhd-silver-305961528.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/5169503/1.jpg?2212,
, 230000,,4%,https://www.jumia.co.ke/hp-omen-gaming-laptop-intel-core-i7-13620h-16gb-ram-1tb-ssd-nvidia-geforce-rtx-40608gb-gddr6-16.1-fhd-black-306158672.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/6851603/1.jpg?4179,
, 220000,,8%,https://www.jumia.co.ke/hp-spectre-x360-2-in-1-laptop-core-ultra-7-155h-16gb-ram-1tb-ssd-14-2.8k-oled-120hz-touch-screen-fingerprint-reader-nightfall-black-1yr-wrty-265240853.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/8042562/1.jpg?2551,
, 58200,,6%,https://www.jumia.co.ke/apple-refurbished-imac-all-in-one-143-in141telr-coretm-i5-4th-gen-16-gb-ram-1tb-ssd-21.5-inch-display-2.90-ghz-late-2013-265024526.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/5420562/1.jpg?5652,
, 56549,,14%,https://www.jumia.co.ke/apple-refurbished-all-in-one-imac-162-21.5-inch-display-late-2015-intelrcoretm-i5-5th-gen-16-gb-ram-1tb-2.80-ghz-309238955.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/9832903/1.jpg?5390,
, 67500,,10%,https://www.jumia.co.ke/apple-refurbished-all-in-one-imac-181-21.5-inch-mid-2017-intelrcoretm-i5-7th-gen-2.30-ghz-8gb-ram-1tb-308014599.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/5410803/1.jpg?2638,
